"Qty","Value","Part Num","Package","Parts"
"1","","36103205","WE-SHC_36103205","SHC1"
"1","0R","MF-RES-0805-0","R_0805","R59"
"1","1.5M","ERJ-3EKF1504V","R_0603","R25"
"1","1.5nF","CL10C152JB8NNNC","C_MLCC_0603","C43"
"1","1.8M","ERJ-3EKF1804V","R_0603","R26"
"3","1k","3214W-1-102E","RTRIM3214W","R4, R8, R9"
"2","1k","TNPW06031K00BEEA","R_0603","R6, RG"
"1","1k","Y00561K00000K0L","3006P","T1"
"4","1nF","CL10C102JB8NNNC","C_MLCC_0603","C18, C30, C51, C54"
"1","1uF","CL10B105KO8NNNC","C_MLCC_0603","C36"
"4","2.21k","TNPW06032K21BEEA","R_0603","R2, R3, R7, R10"
"1","4.7nF","CL10B472KB8SFNC","C_MLCC_0603","C42"
"13","10k","ERJ-3EKF1002V","R_0603","R14, R15, R16, R29, R37, R39, R40, R47, R48, R49, R50, R51, R52"
"17","10k","TNPW060310K0BEEA","R_0603","R5, R19, R20, R24, R31, R32, R38, R43, R44, R45, R46, R58, RC, RF, RH, RI, RT"
"3","10nF","CL10B103KB8NNNC","C_MLCC_0603","C25, C26, C31"
"12","10uF","CL32B106KBJNNNE","C_MLCC_1210","C55, C56, C_P3, C_P4, C_P5, C_P6, C_P7, C_P8, C_P11, C_P12, C_P13, C_P14"
"1","15nF","CL10B153KB8SFNC","C_MLCC_0603","C41"
"2","22V","B72510T0140K062","R_0805","V1, V2"
"5","22pF","CL05C220JB5NNNC","C_MLCC_0402","C9, C22, C23, C24, C45"
"1","30.9k","ERJ-3EKF3092V","R_0603","R36"
"2","33nF","CL10B333JB8NNNC","C_MLCC_0603","C49, C50"
"4","47.5k","TNPW060347K5BEEA","R_0603","R21, R22, R33, R34"
"1","47nF","CL10B473KB8NNNC","C_MLCC_0603","C40"
"2","47uF","T495X476K035ATE300","CT7343","C_P9, C_P10"
"5","49.9","TNPW060349R9BEEA","R_0603","R1, R11, R12, R23, R35"
"2","100 uH","SLF10145T-101M1R0-PF","SLF10145","L1, L2"
"23","100nF","CL10B104KB8SFNC","C_MLCC_0603","C1, C2, C3, C4, C5, C6, C7, C8, C13, C14, C15, C17, C19, C20, C21, C27, C28, C29, C32, C33, C34, C35, C46"
"1","113k","ERJ-3EKF1133V","R_0603","R28"
"2","120","TNPW0603120RBEEA","R_0603","R41, R42"
"1","121k","TNPW0603121KBEEA","R_0603","RO"
"1","137k","ERJ-3EKF1373V","R_0603","R30"
"2","150","ERJ-3EKF1500V","R_0603","R17, R18"
"1","150nF","CL21B154KBFNNNE","C_MLCC_0805","C39"
"1","150pF","CL10C151JB8NNNC","C_MLCC_0603","C37"
"2","220uF","MF-CAP-10MM-220UF","CP10MM","C_P1, C_P2"
"1","330nF","CL31B334KBFNNNE","C_MLCC_1206","C12"
"1","332","ERJ-3EKF3320V","R_0603","R13"
"1","470nF","CL21B474KBFNNNE","C_MLCC_0805","C38"
"3","470pF","CL10C471JB8NNNC","C_MLCC_0603","C16, C44, C47"
"1","499k","ERJ-3EKF4993V","R_0603","R27"
"2","510pF","CL10C511JB8NNNC","C_MLCC_0603","C52, C53"
"4","787","TNPW0603787RBEEA","R_0603","R54, R55, R56, R57"
"2","1000uF","MF-CAP-12.5MM-1000UF","CP12.5MM","C10, C11"
"14","5019","5019","KEYSTONE5019","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14"
"4","7109D/TRG","7109D/TRG","FIGD","HS1, HS2, HS3, HS4"
"1","7201*AV2","7201MD9AV2QE","7201**AV2","SW1"
"2","ACS730KLCTR-20AB","ACS730KLCTR-20AB-T","SOICN-8","U3, U7"
"1","AD8421","AD8421ARZ","SOIC-8","U5"
"1","ADA4522-2ARZ","ADA4522-2ARZ","SO-08","U4"
"3","ADG5412BRUZ","ADG5412BRUZ","TSSOP16","IC7, IC12, IC13"
"2","AMP-31-6576","031-6576","AMP-31-6576","J1, J3-CONTROL"
"2","CDSU400B","CDSU400B","D0603","D1, D2"
"1","CHP-081TA","CHP-081TA","CHP-081_A","SW2"
"1","DC847BDW1T3G","BC847BPDW1T3G","SOT-363","Q1"
"1","DNP","CL10C221JB81PNC","C_MLCC_0603","C48"
"1","DNP","MF-RES-0805-0","R_0805","R53"
"8","FIDUCIAL-1.0MM","*","FID_1.0MM","FID1, FID2, FID3, FID4, FID5, FID6, FID7, FID8"
"1","IXTA75N10P","IXTA75N10P","D2PAK/TO263","Q6"
"1","IXTA76P10T","IXTA76P10T","D2PAK/TO263","Q5"
"3","LT3015","LT3015EQ#PBF","TO263-5","IC9, IC10, IC11"
"3","LT3080","LT3080EQ#PBF","TO263-5","IC5, IC6, IC8"
"2","MAX6006AEUR+T","MAX6006AEUR+T","SOT23","U1, U2"
"1","MF-DSC-SOT233-BSS138","MF-DSC-SOT233-BSS138","SOT-23-3","U6"
"1","OPA2211","OPA2211AIDDA","DDA8_3X2P49","U12"
"2","OPA2227","OPA2227U/2K5","SO-08","U10, U11"
"2","PLUG_TB-3","691312410003","PLUG_TB-3","B1, B3"
"1","QR-HTTPS://GIT.IO/VSQ18-LIGHT-SILK","*","QR-HTTPS://GIT.IO/VSQ18-LIGHT-SILK","QR1"
"1","SSF-LXH250GID","SSF-LXH250GID","SSF-LXH250GID","LED1"
"1","TERM_BLOCK-3","1-2834015-3","TB-03","B2"
"1","TLP2767","TLP2767(TP,E","SO6L","IC4"
"1","VCA824","VCA824IDGST","MSOP10","U8"
